A1,,B1,,C1,,D1,,E1,,F1,,G1,,H1,
23.01,0.01811209,23.01,0.01541134,23.01,0.02837286,23.01,0.0242459,23.01,0.01912926,23.01,0.01768923,23.01,0.01493613,23.01,0.01553315
23.21,0.01760655,23.21,0.01490089,23.21,0.0283931,23.21,0.02096037,23.21,0.01795103,23.21,0.01348791,23.21,0.014454,23.21,0.01576487
23.4,0.01662443,23.4,0.01297178,23.4,0.02903885,23.4,0.02443404,23.4,0.01814927,23.4,0.01825511,23.4,0.01409235,23.4,0.0112281
23.6,0.02241592,23.6,0.01377443,23.6,0.03138155,23.6,0.02400139,23.6,0.01610087,23.6,0.0139833,23.6,0.01638027,23.6,0.01154026
23.81,0.01744319,23.81,0.01471509,23.81,0.02799836,23.81,0.02647098,23.81,0.01961498,23.81,0.01518636,23.81,0.01847042,23.81,0.01540747
24.01,0.02277993,24.01,0.01494736,24.01,0.02863208,24.01,0.02155594,24.01,0.01386636,24.01,0.016069,24.01,0.01517608,24.01,0.01275036
24.21,0.02075275,24.21,0.01841144,24.21,0.03244172,24.21,0.02512694,24.21,0.01983259,24.21,0.01828695,24.21,0.0211663,24.21,0.01284121
24.41,0.01840786,24.41,0.01608908,24.41,0.0299819,24.41,0.0274209,24.41,0.01823068,24.41,0.01670397,24.41,0.01484679,24.41,0.0110899
24.6,0.01844074,24.6,0.01701057,24.6,0.03467068,24.6,0.02305465,24.6,0.01302319,24.6,0.01623696,24.6,0.0154251,24.6,0.01404921
24.81,0.01958833,24.81,0.01757234,24.81,0.0287514,24.81,0.02070807,24.81,0.01989026,24.81,0.01232101,24.81,0.014092,24.81,0.00882189
25.01,0.01819141,25.01,0.0159068,25.01,0.026515,25.01,0.02296185,25.01,0.02047329,25.01,0.01590043,25.01,0.01717457,25.01,0.01312137
25.21,0.02421111,25.21,0.01162035,25.21,0.03085031,25.21,0.0290508,25.21,0.02089027,25.21,0.01713047,25.21,0.01800959,25.21,0.01583746
25.4,0.01826309,25.4,0.01219909,25.4,0.02616978,25.4,0.0249912,25.4,0.01666815,25.4,0.01789621,25.4,0.01934101,25.4,0.01195869
25.61,0.01860426,25.61,0.01873403,25.61,0.0292788,25.61,0.02281678,25.61,0.01623235,25.61,0.01567218,25.61,0.01591866,25.61,0.01198644
25.8,0.01645458,25.8,0.01606777,25.8,0.02957542,25.8,0.02422499,25.8,0.0181046,25.8,0.01483867,25.8,0.01711678,25.8,0.01234219
25.99,0.01594834,25.99,0.01620163,25.99,0.0346093,25.99,0.02335554,25.99,0.01764155,25.99,0.01335842,25.99,0.01797512,25.99,0.01327571
26.19,0.02017833,26.19,0.01268385,26.19,0.0311811,26.19,0.02509925,26.19,0.01794915,26.19,0.01399064,26.19,0.01644405,26.19,0.01108705
26.41,0.02022808,26.41,0.01503135,26.41,0.02819692,26.41,0.02836652,26.41,0.01439047,26.41,0.01526557,26.41,0.01883139,26.41,0.01478142
26.6,0.01646754,26.6,0.01329219,26.6,0.03139282,26.6,0.02751303,26.6,0.01751221,26.6,0.01107348,26.6,0.01983121,26.6,0.01451869
26.8,0.01673673,26.8,0.01478766,26.8,0.03301807,26.8,0.02719848,26.8,0.02077856,26.8,0.01453485,26.8,0.01378029,26.8,0.01147051
27,0.01973434,27,0.01437648,27,0.0348884,27,0.02700448,27,0.01444647,27,0.01398416,27,0.0129472,27,0.01460155
27.19,0.01839129,27.19,0.0173293,27.19,0.03185676,27.19,0.02458295,27.19,0.0161083,27.19,0.01268234,27.19,0.02108005,27.19,0.01713504
27.41,0.01650898,27.41,0.0149845,27.41,0.03257242,27.41,0.02574031,27.41,0.01931263,27.41,0.01429807,27.41,0.01758974,27.41,0.01142073
27.61,0.01743212,27.61,0.01551718,27.61,0.02648602,27.61,0.02489137,27.61,0.01763774,27.61,0.0102756,27.61,0.01710001,27.61,0.01540693
27.81,0.01831486,27.81,0.01616923,27.81,0.0289266,27.81,0.02344793,27.81,0.01987514,27.81,0.01734554,27.81,0.01673323,27.81,0.01083645
28,0.01652561,28,0.01412329,28,0.03003964,28,0.02776809,28,0.0212855,28,0.01476784,28,0.01836056,28,0.01460826
28.2,0.01651699,28.2,0.01509924,28.2,0.03150448,28.2,0.0267312,28.2,0.02067549,28.2,0.01385518,28.2,0.01955026,28.2,0.01423438
28.41,0.01491634,28.41,0.01317174,28.41,0.02783036,28.41,0.02446114,28.41,0.01976333,28.41,0.01698447,28.41,0.01715605,28.41,0.01425248
28.61,0.01981135,28.61,0.01454217,28.61,0.02938583,28.61,0.02601054,28.61,0.02160427,28.61,0.01347555,28.61,0.01591743,28.61,0.01474946
28.81,0.01927786,28.81,0.01117989,28.81,0.03243947,28.81,0.02543657,28.81,0.0202707,28.81,0.01503618,28.81,0.01612071,28.81,0.01265945
29,0.01970722,29,0.01574441,29,0.03490401,29,0.02694588,29,0.01931681,29,0.01725973,29,0.01405824,29,0.01070221
29.2,0.02026413,29.2,0.01786553,29.2,0.0313108,29.2,0.02231743,29.2,0.0186752,29.2,0.0134128,29.2,0.01510965,29.2,0.01407516
29.41,0.02099058,29.41,0.01425535,29.41,0.02896305,29.41,0.02520502,29.41,0.01935354,29.41,0.01745008,29.41,0.01797854,29.41,0.01606401
29.61,0.01957116,29.61,0.01561391,29.61,0.03137061,29.61,0.02713849,29.61,0.01522397,29.61,0.01952435,29.61,0.01695945,29.61,0.01173896
